timestamp,madgwick_roll,madgwick_pitch,madgwick_yaw,gt_roll,gt_pitch,gt_yaw,madgwick_error
0,5.74187,0.046518,0.3289,5.72958,0,0,0.332395
0.01,5.73243,0.130782,0.579486,5.72944,0.0572955,0.286479,0.302092
0.02,5.73012,0.16708,0.906304,5.72902,0.11459,0.572958,0.337452
0.03,5.72316,0.24311,1.23454,5.72831,0.171881,0.859437,0.38186
0.04,5.72352,0.301465,1.47543,5.72733,0.229168,1.14592,0.33739
0.05,5.73025,0.35482,1.80725,5.72607,0.286449,1.43239,0.381043
0.06,5.72127,0.453948,2.07664,5.72453,0.343723,1.71887,0.374395
0.07,5.7173,0.520549,2.40801,5.7227,0.400989,2.00535,0.42011
0.08,5.73611,0.590015,2.65563,5.7206,0.458244,2.29183,0.387101
0.09,5.7422,0.685201,2.91845,5.71821,0.515488,2.57831,0.38066
0.1,5.74433,0.766436,3.16643,5.71555,0.572719,2.86479,0.359358
0.11,5.72258,0.784074,3.43826,5.7126,0.629936,3.15127,0.32581
0.12,5.69279,0.87829,3.72103,5.70938,0.687137,3.43775,0.342335
0.13,5.66382,0.898031,4.00724,5.70587,0.744321,3.72423,0.325316
0.14,5.6781,0.991616,4.31662,5.70209,0.801486,4.0107,0.3613
0.15,5.6876,1.04767,4.55916,5.69802,0.858631,4.29718,0.323368
0.16,5.70391,1.07989,4.81324,5.69368,0.915755,4.58366,0.282258
0.17,5.74183,1.12013,5.10504,5.68906,0.972856,4.87014,0.281424
0.18,5.75489,1.16668,5.43305,5.68416,1.02993,5.15662,0.315228
0.19,5.73472,1.21309,5.76134,5.67898,1.08698,5.4431,0.345799
0.2,5.68738,1.28646,6.04279,5.67352,1.14401,5.72958,0.344102
0.21,5.68213,1.33207,6.28462,5.66778,1.201,6.01606,0.298897
0.22,5.68801,1.37545,6.52991,5.66177,1.25797,6.30254,0.256743
0.23,5.71572,1.40472,6.83109,5.65548,1.3149,6.58901,0.263831
0.24,5.6826,1.47799,7.14959,5.64891,1.3718,6.87549,0.29509
0.25,5.63863,1.54092,7.46064,5.64207,1.42867,7.16197,0.319166
0.26,5.67055,1.61668,7.76278,5.63495,1.4855,7.44845,0.341577
